357,116.4,0.01908,1.1116
363,124.8,0.01917,1.1126
369,132.6,0.01935,1.108
366.5,141.2,0.01874,1.1101
367.5,143.2,0.01895,1.1182
365.5,151.2,0.01882,1.1221
366,155.4,0.01788,1.1171
365.5,146,0.01827,1.1198
359,149,0.01874,1.1155
375,160,0.01858,1.1113
366.5,167.6,0.01825,1.1111
372,161.4,0.01848,1.1117
367.5,164.2,0.01818,1.1136
367,180,0.01788,1.1131
367.5,187,0.01809,1.1154
374.5,180,0.01836,1.114
393,178,0.01836,1.1095
381,172.2,0.01769,1.1097
438.5,177.2,0.01769,1.1086
423.5,172.2,0.0174,1.1096
439,170,0.01681,1.1055
425,163.2,0.01605,1.1025
457,169.6,0.01641,1.102
453.5,172.4,0.01594,1.1023
460,172.8,0.01558,1.1017
465,172,0.0152,1.1029
472,172.6,0.0152,1.109
475,168.2,0.01603,1.1063
467,167.6,0.01649,1.1047
461.5,168.2,0.01644,1.1002
460,162.6,0.01578,1.0983
457.5,167.4,0.01547,1.0949
459.5,168,0.0159,1.0913
473,166,0.0163,1.0919
472.5,171.8,0.01617,1.0876
464.5,169.4,0.01588,1.0846
468,170,0.01588,1.0842
470,168.4,0.01556,1.084
491,169.4,0.0157,1.0795
482.5,162.6,0.01525,1.081
477.5,156.8,0.01471,1.0788
449,145,0.01377,1.0839
435,144,0.0133,1.0849
452.5,143,0.0131,1.0882
431,135,0.01299,1.0886
421.5,132.4,0.01127,1.0997
423.5,132.6,0.01088,1.1051
446,133.4,0.0101,1.1144
460,133.4,0.00992,1.1181
452,140.2,0.00926,1.1139
439.5,142,0.00706,1.1224
418.5,138.4,0.00499,1.1386
416.5,133.2,0.00748,1.1398
399.5,128.2,0.0082,1.1317
350,116.2,0.00849,1.1262
368,122.8,0.00951,1.1185
355,111.6,0.00728,1.1155
375.5,114,0.00997,1.1163
365,117.6,0.01266,1.1016
380,122.8,0.01119,1.0962
368,119.4,0.00938,1.0657
380,117,0.00764,1.0694
395,124,0.00816,1.0765
406,125.8,0.00858,1.0803
405,129,0.00811,1.089
402.5,127.6,0.00749,1.1048
420,137.2,0.0067,1.1139
443,145,0.00698,1.103
440.5,144,0.00635,1.1027
432,143.2,0.00627,1.0954
448,147,0.00587,1.0847
464,164.8,0.00676,1.0807
460,153.4,0.00736,1.0804
473.5,167.4,0.00764,1.0895
492,171.8,0.00729,1.0864
499,176.2,0.00752,1.0923
510,172,0.00638,1.0985
518,171.4,0.00609,1.0905
540,185.6,0.00654,1.0858
560,184.2,0.00626,1.0867
553,189.8,0.00571,1.0865
550,192.8,0.00619,1.0856
556,197,0.00613,1.081
578,195.6,0.00596,1.0777
592,188.2,0.00656,1.0824
584,183.8,0.0061,1.0825
591,186,0.00627,1.0837
585,183.2,0.00622,1.0877
582,177.8,0.00637,1.096
609,184.8,0.00657,1.0904
605,178.4,0.00711,1.0839
641,186,0.00631,1.0799
627,193.2,0.00682,1.0837
630,205,0.00726,1.084
659,198.8,0.00678,1.0809
658,197,0.00649,1.0847
664,189,0.00619,1.0824
686,178,0.0064,1.0807
690,188,0.00744,1.0821
714,191.4,0.00711,1.0915
698,200.5,0.0068,1.0928
699,203,0.00657,1.0953
729,200,0.00657,1.0908
700,198.8,0.00698,1.0903
659,193,0.0068,1.0982
645,194.2,0.00705,1.1017
690,196.4,0.00648,1.1079
